"","Country","Region","Rank","HI","PCI","Family","Health","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","long","lat"
"119","Haiti","Latin America and Caribbean",119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,-72.79607526,19.07430861
"120","Congo (Kinshasa)","Sub-Saharan Africa",120,4.517,0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,NA,NA
"121","Nepal","Southern Asia",121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,83.98119373,28.2843077
"122","Ethiopia","Sub-Saharan Africa",122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,39.84148164,9.10727589
"123","Sierra Leone","Sub-Saharan Africa",123,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,2.51009,-11.93368759,8.45575589
"124","Mauritania","Sub-Saharan Africa",124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,-10.21573334,20.28331239
"125","Kenya","Sub-Saharan Africa",125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,37.97212297,0.19582452
"126","Djibouti","Sub-Saharan Africa",126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,42.65344839,11.75959257
"127","Armenia","Central and Eastern Europe",127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,45.01072318,40.13475528
"128","Botswana","Sub-Saharan Africa",128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,24.22344422,-22.18279485
"129","Myanmar","Southeastern Asia",129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,96.54949272,19.2098538
"130","Georgia","Central and Eastern Europe",130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,44.17329916,41.82754301
"131","Malawi","Sub-Saharan Africa",131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,34.14223524,-12.48684092
"132","Sri Lanka","Southern Asia",132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,80.83772497,7.61264985
"133","Cameroon","Sub-Saharan Africa",133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,12.72825915,7.38622543
"134","Bulgaria","Central and Eastern Europe",134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,25.485832,42.70160678
"135","Egypt","Middle East and Northern Africa",135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,30.8025,26.71650873
"136","Yemen","Middle East and Northern Africa",136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,47.60453676,15.60865453
"137","Angola","Sub-Saharan Africa",137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,16.70933622,-12.16469683
"138","Mali","Sub-Saharan Africa",138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,-1.9636873,17.69385811
"139","Congo (Brazzaville)","Sub-Saharan Africa",139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,NA,NA
"140","Comoros","Sub-Saharan Africa",140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,43.333302,-11.64529989
"141","Uganda","Sub-Saharan Africa",141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,32.44409759,1.5476062
"142","Senegal","Sub-Saharan Africa",142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,-14.68306489,14.43579003
"143","Gabon","Sub-Saharan Africa",143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,11.43916591,-0.43426435
"144","Niger","Sub-Saharan Africa",144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,8.2354786,17.23446679
"145","Cambodia","Southeastern Asia",145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,104.8481427,12.83288883
"146","Tanzania","Sub-Saharan Africa",146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,34.85587302,-6.37551085
"147","Madagascar","Sub-Saharan Africa",147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,46.97898228,-19.79858543
"148","Central African Republic","Sub-Saharan Africa",148,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.7223,20.64281514,6.8254183
"149","Chad","Sub-Saharan Africa",149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,18.78714064,14.80342407
"150","Guinea","Sub-Saharan Africa",150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,-11.31711839,9.94301472
"151","Ivory Coast","Sub-Saharan Africa",151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,NA,NA
"152","Burkina Faso","Sub-Saharan Africa",152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,-1.561591,12.22492458
"153","Afghanistan","Southern Asia",153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,66.39159363,33.98299275
"154","Rwanda","Sub-Saharan Africa",154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,29.94255855,-1.98589079
"155","Benin","Sub-Saharan Africa",155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,2.29386134,9.37180859
"156","Syria","Middle East and Northern Africa",156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,38.66723516,34.7109743
"157","Burundi","Sub-Saharan Africa",157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,29.88592902,-3.40499707
"158","Togo","Sub-Saharan Africa",158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,0.86049757,8.68089206
